Outcome,Treatment,Control,Method,Est_Prop,Est_Imput,Neighbors,Caliper_Std,ATE,ATET
re78,DWT,CPS,PSM,GB,,10.0,1.0,77.15166109833586,1665.0542471326635
re78,DWT,CPS,IPTW,GB,,,,1116.7942452967657,
re78,DWT,CPS,DR,GB,RF,,,740.090316150523,
re78,DWT,CPS,DR,GB,GB,,,308.53287143724754,
dif,DWT,PSID,PSM,logit,,1.0,0.1,-286.3338032647183,776.0362237294515
dif,DWT,PSID,PSM,logit,,1.0,0.2,-637.3460743337104,776.0362237294515
dif,DWT,PSID,PSM,logit,,1.0,1.0,-461.85566929856395,776.0362237294515
dif,DWT,PSID,PSM,logit,,10.0,0.1,-342.21175291865933,283.4894216273412
dif,DWT,PSID,PSM,logit,,10.0,0.2,-438.4120898031661,253.01612520059797
dif,DWT,PSID,PSM,logit,,10.0,1.0,-881.656490570424,-164.1367397901755
dif,DWT,PSID,IPTW,logit,,,,-1076.6288148555975,
dif,DWT,PSID,DR,logit,RF,,,-596.467870643253,
dif,DWT,PSID,DR,logit,GB,,,-57.60135091562638,
re78,DWT,PSID,PSM,logit,,1.0,0.1,-420.1691749723334,174.3463873969184
re78,DWT,PSID,PSM,logit,,1.0,0.2,-587.2362481375505,174.3463873969184
re78,DWT,PSID,PSM,logit,,1.0,1.0,-129.76162052938383,174.3463873969184
re78,DWT,PSID,PSM,logit,,10.0,0.1,-632.2501058156629,-238.98547528544444
re78,DWT,PSID,PSM,logit,,10.0,0.2,-805.9312554422212,-198.1769839889958
re78,DWT,PSID,PSM,logit,,10.0,1.0,-1979.5642856142276,-653.1237795172802
re78,DWT,PSID,IPTW,logit,,,,-2806.56165580301,
re78,DWT,PSID,DR,logit,RF,,,-604.377764919359,
re78,DWT,PSID,DR,logit,GB,,,-515.4814214137496,
dif,DWT,PSID,PSM,RF,,1.0,0.1,510.5175218304382,-654.128580171768
dif,DWT,PSID,PSM,RF,,1.0,0.2,15.164265260858116,-215.57208101249034
dif,DWT,PSID,PSM,RF,,1.0,1.0,5113.079005069043,3270.8113630258354
dif,DWT,PSID,PSM,RF,,10.0,0.1,482.95179155678636,-670.7471372560824
dif,DWT,PSID,PSM,RF,,10.0,0.2,-968.9524646097083,-993.2638254496438
dif,DWT,PSID,PSM,RF,,10.0,1.0,1429.0800184249506,408.11974990670205
dif,DWT,PSID,IPTW,RF,,,,-1108.1993154810816,
dif,DWT,PSID,DR,RF,RF,,,-856.9371915191242,
dif,DWT,PSID,DR,RF,GB,,,-212.79478852792948,
